cnpj,razao_social,nome_fantasia,logradouro,numero,complemento,bairro,cidade,uf,dados_cbo
10355877000159,CLINICA CELIA ROCHA EIRELI,CLINICA CELIA ROCHA,AVENIDA BRASIL - LADO PAR,,NR. 400,CENTRO,RIO BRANCO,AC,"{""225127"": {""profissao"": ""Médico"", ""especialidades"": [""pneumologista""]}}"
10480116000129,CLINICA RIO BRANCO EIRELI,CLINICA RIO BRANCO,RUA ALVORADA - DE 401/402 AO FIM,,NR 526,BOSQUE,RIO BRANCO,AC,"{""225265"": {""profissao"": ""Médico"", ""especialidades"": [""oftalmologista""]}}"
11450000000100,MENDES E CANEPPA SERVIÇOS MÉDICOS LTDA,MENDES E CANEPPA SERVIÇOS MÉDICOS LTDA,RUA,,,CENTRO,CRUZEIRO DO SUL,AC,
11462799000154,DOC HEALTH CHECK-UP MEDICINA PREVENTIVA LTDA,CLINICA DO NORTE,R PARANÁ,,N.º 63,BOSQUE,RIO BRANCO,AC,
11467937000198,PRORAD DIAGNOSTICOS LTDA,PRORAD DIAGNOSTICOS,RUA HUGO CARNEIRO - ATÉ 1199/1200,,NR 550,BOSQUE,RIO BRANCO,AC,"{""225320"": {""profissao"": ""Médico"", ""especialidades"": [""radiologia e diagnóstico por imagem""]}, ""225335"": {""profissao"": ""Médico"", ""especialidades"": [""patologista clínico / medicina laboratorial""]}}"
11643088000186,D I. SARAIVA LTDA,LAB CLIN,RUA HUGO CARNEIRO - ATÉ 1199/1200,,NR 870,BOSQUE,RIO BRANCO,AC,
11667598732,RICARDO ABRAHAO BARBOSA,RICARDO ABRAHAO BARBOSA,TV FRANCISCO CONDE,,NR 112,BOSQUE,RIO BRANCO,AC,"{""225125"": {""profissao"": ""Médico"", ""especialidades"": [""clínico""]}}"
11977338000114,HEMOCARDIO - CENTRO HEMODINAMICO E CARDIOLOGICO S/S LTDA,HEMOCARDIO,RUA ALVORADA - DE 401/402 AO FIM,,NR 806,BOSQUE,RIO BRANCO,AC,"{""225120"": {""profissao"": ""Médico"", ""especialidades"": [""cardiologista""]}}"
12044065000118,M.M. SA DE SOUZA,SENSORIAL CLINICA,TV 19 DE NOVEMBRO,,311,BOSQUE,RIO BRANCO,AC,"{""223810"": {""profissao"": ""Fonoaudiólogo"", ""especialidades"": [""geral""]}, ""223905"": {""profissao"": ""Terapeuta"", ""especialidades"": [""ocupacional""]}, ""225270"": {""profissao"": ""Médico"", ""especialidades"": [""ortopedista e traumatologista""]}, ""251510"": {""profissao"": ""Psicólogo"", ""especialidades"": [""clínico""]}}"
13170529000103,R. C. SERVICOS DE DIAGNOSTICO POR IMAGEM LTDA,D IMAGEM - CENTRO DE DIAGNOSTICO POR IMAGEM,AV,,RESID. MARIANA,PRIMAVERA,RIO BRANCO,AC,"{""225125"": {""profissao"": ""Médico"", ""especialidades"": [""clínico""]}, ""225320"": {""profissao"": ""Médico"", ""especialidades"": [""radiologia e diagnóstico por imagem""]}}"
13305351000152,CLINICAS INTEGRADAS PARA SAUDE DA MULHER LTDA,CLINICAS INTEGRADAS PARA SAUDE DA MULHER,RUA IPANEMA,,NR 152,VILAGE WILDE MACIEL,RIO BRANCO,AC,"{""225125"": {""profissao"": ""Médico"", ""especialidades"": [""clínico""]}}"
13325100000130,CEDIMP-CENTRO DE DIAGNOSTICO POR IMAGEM DRS. MAIRA E MARCOS PARENTE LT,CEDIMP,RUA VALERIO MAGALHÃES - ATÉ 413/414,,NR 63,BOSQUE,RIO BRANCO,AC,"{""225270"": {""profissao"": ""Médico"", ""especialidades"": [""ortopedista e traumatologista""]}, ""225320"": {""profissao"": ""Médico"", ""especialidades"": [""radiologia e diagnóstico por imagem""]}}"
13606658000193,CENTRO DE DIAGNOSTICOS CITOLAB EIRELI,CITOLAB,AV,,,CENTRO,CRUZEIRO DO SUL,AC,"{""225335"": {""profissao"": ""Médico"", ""especialidades"": [""patologista clínico / medicina laboratorial""]}}"
13692427000140,OFTALMOACRE MEDICOS LTDA,OFTALMOACRE,AVENIDA GETÚLIO VARGAS - DE 1523 A 2091 ,,PREDIO CLINICA SANTA LUCIA,BOSQUE,RIO BRANCO,AC,"{""225265"": {""profissao"": ""Médico"", ""especialidades"": [""oftalmologista""]}}"
13713179000176,CLINICA DE REUMATOLOGIA LTDA,CLINICA DE REUMATOLOGIA,RUA ANTUNES DE ALENCAR,,NR. 152,BOSQUE,RIO BRANCO,AC,"{""225136"": {""profissao"": ""Médico"", ""especialidades"": [""reumatologista""]}}"
15538176215,MARILENE FALCAO DE FREITAS,MARILENE FALCAO DE FREITAS,R RIO DE JANEIRO - ATÉ 484 - LADO PAR,,NR 56 SALA 06,D GIOCONDO,RIO BRANCO,AC,"{""251510"": {""profissao"": ""Psicólogo"", ""especialidades"": [""clínico""]}}"
15539912000103,F. MARTINS CHAVES,VIVENSER INSTITUTO DE TERAPIAS INTEGRADAS,R FLORIANO PEIXOTO - DE 480 AO FIM - LAD,,NR 550,CENTRO,RIO BRANCO,AC,"{""223710"": {""profissao"": ""Nutricionista"", ""especialidades"": []}, ""223810"": {""profissao"": ""Fonoaudiólogo"", ""especialidades"": [""geral""]}, ""223905"": {""profissao"": ""Terapeuta"", ""especialidades"": [""ocupacional""]}, ""251510"": {""profissao"": ""Psicólogo"", ""especialidades"": [""clínico""]}}"
17280180000105,RODRIGO VICK E ERIKA VICK SOCIEDADE SIMPLES,AMAZON SERVICOS MEDICOS,R HUGO CARNEIRO - ATÉ 1199/1200,,,BOSQUE,RIO BRANCO,AC,"{""225270"": {""profissao"": ""Médico"", ""especialidades"": [""ortopedista e traumatologista""]}}"
17513280000134,CLINICA DO CORACAO LTDA,CLINICA DO CORACAO LTDA,RUA,,,CENTRO,CRUZEIRO DO SUL,AC,"{""225120"": {""profissao"": ""Médico"", ""especialidades"": [""cardiologista""]}}"
18826186000106,MAGALHAES E ROCHA SOCIEDADE SIMPLES,MAGALHAES E ROCHA,RUA ANTUNES DE ALENCAR 152              ,,RUA EM FRENTE A PIZZARIA MARIA FARINHA,BOSQUE              ,RIO BRANCO,AC,"{""225270"": {""profissao"": ""Médico"", ""especialidades"": [""ortopedista e traumatologista""]}}"
19825518000192,CONSULTORIO RIBEIRO E RIBEIRO SOCIEDADE SIMPLES,CONS. DE OTORRINOLARINGOLOGIA DR FERNANDO E DRA REBECCA,RUA HUGO CARNEIRO - ATÉ 1199/1200,,NR 689,BOSQUE,RIO BRANCO,AC,"{""225275"": {""profissao"": ""Médico"", ""especialidades"": [""otorrinolaringologista""]}}"
20891267000123,ONCOHEALTH - SERVICOS MEDICOS LTDA,ONCOHEALTH - SERVICOS MEDICOS,R ALVORADA,,NR 550,R MELO,RIO BRANCO,AC,
21110565000282,MEDLAB RIO BRANCO LTDA,MEDLAB,RUA                                     ,,,BOSQUE              ,RIO BRANCO,AC,"{""225335"": {""profissao"": ""Médico"", ""especialidades"": [""patologista clínico / medicina laboratorial""]}}"
21205523000144,CLINICA MEDICA DR ARNALDO BARBOSA LTDA,CLINICA MEDICA DR ARNALDO BARBOSA LTDA,TV,,NR 112,BOSQUE,RIO BRANCO,AC,
21310193000157,CIS - CENTRO INTEGRADO DE SAUDE LTDA,CIS + CENTRO INTEGRADO DE SAUDE,R DA ALEGRIA,,NR 46,BOSQUE,RIO BRANCO,AC,"{""225310"": {""profissao"": ""Médico"", ""especialidades"": [""endoscopia""]}}"
22172220000135,MEDICINA ESPECIALIZADA DO ACRE SOCIEDADE SIMPLES,MEDICINA ESPECIALIZADA DO ACRE,RUA MAJOR SALINAS,,NR 101,JOSÉ AUGUSTO,RIO BRANCO,AC,"{""225135"": {""profissao"": ""Médico"", ""especialidades"": [""dermatologista""]}, ""225151"": {""profissao"": ""Médico"", ""especialidades"": [""anestesiologista""]}}"
22393791000108,CLINICA VITALLE LTDA - ME,CLINICA VITALLE,RUA,,,FORMOSO,CRUZEIRO DO SUL,AC,
24554330000197,MILLENNIUM REN MEDICALS LTDA,MILLENNIUM REN MEDICALS LTDA,AVENIDA GETÚLIO VARGAS - DE 986 A 1522 -,,PREDIO DA CLINICA SANTA LUCIA,BOSQUE,RIO BRANCO,AC,"{""225124"": {""profissao"": ""Médico"", ""especialidades"": [""pediatra""]}}"
24796941000141,LAGE E DANTAS SOCIEDADE SIMPLES LTDA,LAGE E DANTAS CENTRO MEDICO,AV,,SALA 707,CENTRO,RIO BRANCO,AC,
24868183000120,R. J. C. NETO CLINICA FISIOTERAPIA DR RAIMUNDO CASTRO,CLINICA FISIOTERAPIA DR RAIMUNDO CASTRO,R QUINTINO BOCAIUVA - DE 1643/1644 AO FI,,NR. 1848,BOSQUE,RIO BRANCO,AC,"{""225310"": {""profissao"": ""Médico"", ""especialidades"": [""endoscopia""]}}"
24961912000198,CLINICA ATP - EMAGRECIMENTO E PERFORMANCE FISICA - EIRELI,CLINICA ATP-EMAGRECIMENTO E PERFORMANCE FISICA-EIRELI,R DAS OLIVEIRAS,,QUADRA 07 CASA 06,JD TROPICAL,RIO BRANCO,AC,"{""225118"": {""profissao"": ""Médico"", ""especialidades"": [""nutrologista""]}}"
26209408000161,"DR. SAUDE, OFTALMOLOGIA E ESPECIALIDADES LTDA",IMUNO VISION,RUA                                     ,,AV CEARA Nº 1221 GALERIA CUNHA SALA 26,CENTRO              ,RIO BRANCO,AC,"{""225110"": {""profissao"": ""Médico"", ""especialidades"": [""alergista e imunologista""]}, ""225124"": {""profissao"": ""Médico"", ""especialidades"": [""pediatra""]}, ""225125"": {""profissao"": ""Médico"", ""especialidades"": [""clínico""]}, ""225265"": {""profissao"": ""Médico"", ""especialidades"": [""oftalmologista""]}}"
27190476000199,MASTER CLIN SERVICOS MEDICOS EIRELI,MASTER CLIN,AV GETÚLIO VARGAS - DE 3031/3032 A 3443/,,,VL IVONETE,RIO BRANCO,AC,"{""225125"": {""profissao"": ""Médico"", ""especialidades"": [""clínico""]}}"
27648176220,FRANCISCO EDUARDO SARAIVA DE FARIAS,FRANCISCO EDUARDO SARAIVA DE FARIAS,TV 19 DE NOVEMBRO,,NR. 74 - CLINICA FISIOCLIN,BOSQUE,RIO BRANCO,AC,"{""225103"": {""profissao"": ""Médico"", ""especialidades"": [""infectologista""]}}"
28342552000105,OBESOCLIN LTDA,OBESOCLIN,RUA,,NR 486,BOSQUE,RIO BRANCO,AC,
28400672000103,J. V. S MACHADO LTDA,ULTRACLÍNÍCA,RUA,,,IPASE,RIO BRANCO,AC,
30205310710,SERGIO BOUSQUET,SERGIO BUSQUET,TV FRANCISCO CONDE,,NR 112 SALA 201,BOSQUE,RIO BRANCO,AC,"{""225124"": {""profissao"": ""Médico"", ""especialidades"": [""pediatra""]}}"
30789753200,MARIA DO SOCORRO AVELINO GONCALVES,MARIA DO SOCORRO AVELINO GONCALVES,R D BOSCO 2,,NR 619,BOSQUE,RIO BRANCO,AC,"{""225124"": {""profissao"": ""Médico"", ""especialidades"": [""pediatra""]}}"
31343535000199,PSICOLOGOS E NUTRICIONISTAS ASSOCIADOS LTDA,CLINICA AFETTO,AVENIDA GETÚLIO VARGAS - DE 3837 AO FIM ,,NR 4011,RAIMUNDO MELO,RIO BRANCO,AC,"{""225155"": {""profissao"": ""Médico"", ""especialidades"": [""endocrinologista e metabologista""]}}"
31557581000190,DNA MEDICINA DIAGNOSTICA LTDA,DNA MEDICINA DIAGNOSTICA,RUA,,NR 35,BOSQUE,RIO BRANCO,AC,
31726310000111,SINDOR SERVICO INTERDISCIPLINAR DE CONTROLE DA DOR LTDA,SINDOR,AV NAÇÕES UNIDAS - DE 664 A 1144 - LADO ,,NR 1080,BOSQUE,RIO BRANCO,AC,"{""225151"": {""profissao"": ""Médico"", ""especialidades"": [""anestesiologista""]}}"
32308195000128,CLINICA OFTALMOLOGICO SOUZA LIMA EIRELI,CLINICA OFTALMOLOGICO SOUZA LIMA,TV FRANCISCO CONDE,,NR 112,BOSQUE,RIO BRANCO,AC,
32621729000252,MORAIS E MORAIS LTDA,CLINICA DR LUIZ GUSTAVO MORAIS,AV,,"ANDAR 01 - SALAS 03,04 E 05",BOSQUE,RIO BRANCO,AC,
33016571000173,C ARAUJO DA COSTA - EIRELI,ESPACO SINGULAR CENTRO DE REF EM NEURODESENVOLVIMENTO,RUA,,NR 246,VILA IVONETE,RIO BRANCO,AC,
34534684000123,CEDRO - CLÍNICA DE ELETROACUPUNTURA E DOR REIS DO ORIENTE LTDA,CEDRO - CLÍNICA DE ELETROACUPUNTURA E DOR REIS DO ORIENTE,TRAVESSA MUNICIPALIDADE ,,N 404 VILA IVONETE,BOA ESPERANÇA,RIO BRANCO,AC,
34703462000197,LABORATORIO DE ANALISES CLINICAS RIO BRANCO LTDA,LABORATORIO DE ANALISES CLINICAS RIO BRANCO,AV GETÚLIO VARGAS - DE 1523 A 2091 - LAD,,NR.1.909,BOSQUE,RIO BRANCO,AC,"{""225335"": {""profissao"": ""Médico"", ""especialidades"": [""patologista clínico / medicina laboratorial""]}}"
35297847000164,INSTITUTO MULTIDISCIPLINAR DE NEURODESENVOLVIMENTO LTDA,INSTITUTO ILUMINAR AUTISMO,RUA,,NR 250,VILAGE WILDE MACIEL,RIO BRANCO,AC,
36836794000175,A.I.M.C. COSTA E CIA LTDA,HEPATOGASTRO,R ALVORADA - DE 401/402 AO FIM,,NR 806,BOSQUE,RIO BRANCO,AC,
37223354000105,SERVICO DE ANESTESIA E CONTROLE DA DOR DO ACRE LTDA,SECURITY HEALTH ANESTESIA,RUA,, 250 - SALA 01,VILAGE WILDE MACIEL,RIO BRANCO,AC,
40017513000120,LAB RIM LABORATORIO DE ANALISES CLINICAS DO HOSPITAL DO RIM LTDA,LAB RIM LABORATORIO DE ANALISES CLINICAS DO HOSPITAL DO RIM,AVENIDA,,ANDAR 1 SALA 1,BOSQUE,RIO BRANCO,AC,
40154930000114,CLINICA DE SAUDE E DESENVOLVIMENTO HUMANO ACOLHER LTDA,CLINICA ACOLHER,RUA,,NR 479,JARDIM TROPICAL,RIO BRANCO,AC,
40258166000127,ORTOTRAUMA CLINICA MEDICA DE ORTOPEDIA E TRAUMATOLOGIA LTDA,ORTOTRAUMA CLINICA MEDICA,RUA HUGO CARNEIRO - ATÉ 1199/1200,,,BOSQUE,RIO BRANCO,AC,
40276970730,EDSON MESSIAS DO NASCIMENTO CHAVES,EDSON MESSIAS DO NASCIMENTO CHAVES,RUA SILVESTRE COELHO - DE 615/616 AO FIM,,NR 253,BOSQUE,RIO BRANCO,AC,"{""225125"": {""profissao"": ""Médico"", ""especialidades"": [""clínico""]}}"
41622659000167,CENTRO DE ATENDIMENTO A SAUDE MENTAL DO ACRE LTDA,CENTRO DE ATENDIMENTO A SAUDE MENTAL DO ACRE (CASMAC),RUA,,NR 550,CENTRO,RIO BRANCO,AC,
41888938000177,P S DE ALMEIDA LTDA,CLINICA DA FAMILIA,RUA,,"RUA PIAUI, 208",DOM GIOCONDO,RIO BRANCO,AC,
41932747000165,ENDOMED LTDA,ENDOMED,RUA,,NR 619,BOSQUE,RIO BRANCO,AC,
42405814000156,VERS CLINICA CARDIOLOGICA LTDA,CARDIOVIDA,RUA,,,BOSQUE,RIO BRANCO,AC,
42997100291,JAKSON ROBERTO RAMOS DA SILVA,JAKSON ROBERTO RAMOS DA SILVA,RUA ALVORADA - DE 401/402 AO FIM,,NR. 806 ,BOSQUE,RIO BRANCO,AC,"{""225125"": {""profissao"": ""Médico"", ""especialidades"": [""clínico""]}, ""225310"": {""profissao"": ""Médico"", ""especialidades"": [""endoscopia""]}}"
43461433268,FRANCISLEI LIMA DE FREITAS,FRANCISLEI LIMA DE FREITAS,R HUGO CARNEIRO - ATÉ 1199/1200,,NR 234 CLINICA MED AC,BOSQUE,RIO BRANCO,AC,"{""225270"": {""profissao"": ""Médico"", ""especialidades"": [""ortopedista e traumatologista""]}}"
43578716000183,CLINICA FORTALECER ATENDIMENTOS EM PSICOLOGIA LTDA,CLINICA FORTALECER,AVENIDA,,1227,BOSQUE,RIO BRANCO,AC,
44818412000109,MEDICINARTE DIAGNOSTICOS POR IMAGEM LTDA,MEDICINARTE DIAGNOSTICOS POR IMAGEM LTDA,RUA,,152,BOSQUE,RIO BRANCO,AC,"{""225320"": {""profissao"": ""Médico"", ""especialidades"": [""radiologia e diagnóstico por imagem""]}}"
45415568000101,MAKARIOS CENTRO CLINICA DE DESENVOLVIMENTO TERAPEUTICO LTDA,SENTIDOS CLINICA,AVENIDA NAÇÕES UNIDAS - DE 1486/1487 A 2,,Nº 2329,7º BEC,RIO BRANCO,AC,
51071142291,MILAGROS LEOPOLDINA CLAVIJO VELAZQUEZ,MILAGROS LEOPOLDINA CLAVIJO VELAZQUEZ,R,,CONJUNTO PETROPOLIS,ESTACAO EXPERIMENTAL,RIO BRANCO,AC,"{""225105"": {""profissao"": ""Médico"", ""especialidades"": [""acupunturista""]}, ""225180"": {""profissao"": ""Médico"", ""especialidades"": [""geriatra""]}}"
54436923215,YADIRA SOTOLONGO CASTRESANA,YADIRA SOTOLONGO CASTRESANA,R ALVORADA - ATÉ 399/400,,NR. 156,BOSQUE,RIO BRANCO,AC,"{""225265"": {""profissao"": ""Médico"", ""especialidades"": [""oftalmologista""]}}"
56285388253,ROMEU DELILO JUNIOR,ROMEU DELILO JUNIOR,TRAVESSA SANTA LUZIA,,NR 1919,LOTEAMENTO SANTA HEL,RIO BRANCO,AC,"{""225125"": {""profissao"": ""Médico"", ""especialidades"": [""clínico""]}, ""225220"": {""profissao"": ""Médico"", ""especialidades"": [""cirurgião do aparelho digestivo""]}}"
57995079249,RENATO CORREIA DA SILVA,RENATO CORREIA DA SILVA,R D BOSCO 2,,NR. 619,BOSQUE,RIO BRANCO,AC,"{""225120"": {""profissao"": ""Médico"", ""especialidades"": [""cardiologista""]}}"
63601751000183,LABORATORIO DE ANALISES CLINICAS CARLOS CHAGAS LTDA,LABORATORIO DE ANALISES CLINICAS CARLOS CHAGAS,AVENIDA GETÚLIO VARGAS - DE 1523 A 2091 ,,NR. 1873 ,BOSQUE,RIO BRANCO,AC,"{""225335"": {""profissao"": ""Médico"", ""especialidades"": [""patologista clínico / medicina laboratorial""]}}"
71868348768,ELIZABETH DA SILVA SANTIAGO,ELIZABETH DA SILVA SANTIAGO,RUA ALVORADA - ATÉ 399/400,,NR 806 ANEXO SANTA JULIANA ,BOSQUE,RIO BRANCO,AC,"{""225250"": {""profissao"": ""Médico"", ""especialidades"": [""ginecologista e obstetra""]}}"
73864412234,IDILA MONT ALVERNE XAVIER DE OLIVEIRA,IDILA MONT ALVERNE XAVIER DE OLIVEIRA,RUA HUGO CARNEIRO - ATÉ 1199/1200,,,BOSQUE,RIO BRANCO,AC,"{""225109"": {""profissao"": ""Médico"", ""especialidades"": [""nefrologista""]}, ""225136"": {""profissao"": ""Médico"", ""especialidades"": [""reumatologista""]}}"
84321959000119,LEON FABIO C DOS SANTOS,LAC-LAB. DE ANATOMIA PATOLOGICA E CITOPATOLOGIA DO ACRE,RUA GUIOMARD SANTOS,,NR. 338,BOSQUE,RIO BRANCO,AC,"{""225305"": {""profissao"": ""Médico"", ""especialidades"": [""citopatologista""]}, ""225335"": {""profissao"": ""Médico"", ""especialidades"": [""patologista clínico / medicina laboratorial""]}}"
