cnpj,razao_social,nome_fantasia,logradouro,numero,complemento,bairro,cidade,uf,telefone,email,latitude,longitude,endereco_completo
9663726000340,INSTITUTO ARM SERVIÇOS MEDICOS LTDA,CLINICA RENAL DE RIO BRANCO,RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - DE 35,,NR 3864,CONJUNTO TUCUMÃ,RIO BRANCO,AC,"6833017243, 68992024079","clinicarbconvenios@gmail.com, clinicarbconvenios@gmail.com",-15.79603788,-47.87958741,"RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - DE 35, CONJUNTO TUCUMÃ, RIO BRANCO, AC, Brasil"
10159559000112,CLINICA CARDIOLOGICA INFANTIL LTDA,CARDIOBABY,RUA SILVESTRE COELHO - DE 379/380 A 613/614,,NÚMERO  490,JOSÉ AUGUSTO,RIO BRANCO,AC,"6832243000, 68992835091","ricardoribera@hotmail.com, ricardoribera@hotmail.com",-9.966122,-67.8116,"RUA SILVESTRE COELHO - DE 379/380 A 613/614, JOSÉ AUGUSTO, RIO BRANCO, AC, Brasil"
10261650000144,M. C. ARARIPE - EIRELI,ACRE SAUDE,RUA CORONEL JOSÉ GALDINO ,,NR 626,BOSQUE,RIO BRANCO,AC,"6832235810, 68992297778, 6832235303","drsaudeacre@gmail.com, drsaudeacre@gmail.com",-9.972364,-67.84186,"RUA CORONEL JOSÉ GALDINO , BOSQUE, RIO BRANCO, AC, Brasil"
10355877000159,CLINICA CELIA ROCHA EIRELI,CLINICA CELIA ROCHA,AV BRASIL - LADO PAR,,NR 303,CENTRO,RIO BRANCO,AC,"68981184672, 6832241978",,-9.973057,-67.80744,"AV BRASIL - LADO PAR, CENTRO, RIO BRANCO, AC, Brasil"
10480116000129,CLINICA RIO BRANCO EIRELI,CLINICA RIO BRANCO,RUA PARATI ,,NR 37 - QUADRA 11 SALA 01 E 02,VILAGE WILDE MACIEL,RIO BRANCO,AC,"6832241200, 68999826868, 6832442755","crb.hiperbarica@gmail.com, crb.hiperbarica@gmail.com",-9.959704949,-67.82028679,"RUA PARATI , VILAGE WILDE MACIEL, RIO BRANCO, AC, Brasil"
11450000000100,MENDES E CANEPPA SERVIÇOS MÉDICOS LTDA,MENDES E CANEPPA SERVIÇOS MÉDICOS LTDA,RUA ALFREDO TELES 236 SALA 05,,,CENTRO,CRUZEIRO DO SUL,AC,"6899233-4444, 6899991-5353","faturamento.crac@gmail.com, faturamento.crac@gmail.com",-7.63622,-72.67182,"RUA ALFREDO TELES 236 SALA 05, CENTRO, CRUZEIRO DO SUL, AC, Brasil"
11462799000154,DOC HEALTH CHECK-UP MEDICINA PREVENTIVA LTDA,CLINICA DO NORTE,RUA PARANÁ ,,NR 63,BOSQUE,RIO BRANCO,AC,"68992248720, 6899982-8577","doc.henriqueboechat@gmail.com, doc.henriqueboechat@gmail.com",-10.03379018,-67.79689592,"RUA PARANÁ , BOSQUE, RIO BRANCO, AC, Brasil"
11467937000198,PRORAD DIAGNOSTICOS LTDA,PRORAD DIAGNOSTICOS,RUA HUGO CARNEIRO - ATÉ 1199/1200,,NR 505,BOSQUE,RIO BRANCO,AC,"6832249090, 6832233368, 68992327549, 6832248060, 6832235684","proimagemac@ig.com.br, proimagemac@ig.com.br",-9.963139,-67.81588,"RUA HUGO CARNEIRO - ATÉ 1199/1200, BOSQUE, RIO BRANCO, AC, Brasil"
11643088000186,D I. SARAIVA LTDA,LAB CLIN,RUA HUGO CARNEIRO - ATÉ 1199/1200,,NR 870,BOSQUE,RIO BRANCO,AC,"6834621728, 6899955476","deiver.saraiva@hotmail.com, deiver.saraiva@hotmail.com",-15.78986777,-47.8809607,"RUA HUGO CARNEIRO - ATÉ 1199/1200, BOSQUE, RIO BRANCO, AC, Brasil"
11667598732,RICARDO ABRAHAO BARBOSA,RICARDO ABRAHAO BARBOSA,TRAVESSA FRANCISCO CONDE ,,N 112,BOSQUE,RIO BRANCO,AC,6830261924,"dr.ricardobarbosa@hotmail.com, clinicamedica2014@outlook.com",-9.965563971,-67.81185508,"TRAVESSA FRANCISCO CONDE , BOSQUE, RIO BRANCO, AC, Brasil"
11977338000114,HEMOCARDIO - CENTRO HEMODINAMICO E CARDIOLOGICO S/S LTDA,HEMOCARDIO,RUA ALVORADA - DE 401/402 AO FIM,,NR 806,BOSQUE,RIO BRANCO,AC,"68999990927, 6832241225, 6832241221","carpe@hemocardioac.med.br, financeiro1@hemocardioac.med.br",-9.957631,-67.81469,"RUA ALVORADA - DE 401/402 AO FIM, BOSQUE, RIO BRANCO, AC, Brasil"
12044065000118,M.M. SA DE SOUZA,SENSORIAL CLINICA,TRAVESSA 19 DE NOVEMBRO ,,NR. 74,BOSQUE,RIO BRANCO,AC,"6832243420, 68996027772","sensorial_clinica@hotmail.com, sensorial_clinica@hotmail.com",-9.961511,-67.80933,"TRAVESSA 19 DE NOVEMBRO , BOSQUE, RIO BRANCO, AC, Brasil"
13170529000103,R. C. SERVICOS DE DIAGNOSTICO POR IMAGEM LTDA,D IMAGEM - CENTRO DE DIAGNOSTICO POR IMAGEM,AVENIDA RECANTO VERDE ,,154,RESIDENCIAL PETRÓPOLIS,RIO BRANCO,AC,"683301-7929, 6899901-1587, 6899209-0609, 683301-7924","dimagem@dimagem.radio.br, dimagem@dimagem.radio.br",-9.960468,-67.84599,"AVENIDA RECANTO VERDE , RESIDENCIAL PETRÓPOLIS, RIO BRANCO, AC, Brasil"
13305351000152,CLINICAS INTEGRADAS PARA SAUDE DA MULHER LTDA,CLINICAS INTEGRADAS PARA SAUDE DA MULHER,RUA IPANEMA ,,NR 152,VILAGE WILDE MACIEL,RIO BRANCO,AC,"6899930408, 6832240808",,-9.958144,-67.82027,"RUA IPANEMA , VILAGE WILDE MACIEL, RIO BRANCO, AC, Brasil"
13325100000130,CEDIMP-CENTRO DE DIAGNOSTICO POR IMAGEM DRS. MAIRA E MARCOS PARENTE LT,CEDIMP,RUA VALERIO MAGALHÃES - ATÉ 413/414,,NR. 63,BOSQUE,RIO BRANCO,AC,6832234345,"cedimpacre@hotmail.com, cedimpacre@hotmail.com",-9.960938,-67.81089,"RUA VALERIO MAGALHÃES - ATÉ 413/414, BOSQUE, RIO BRANCO, AC, Brasil"
13606658000193,CENTRO DE DIAGNOSTICOS CITOLAB EIRELI,CITOLAB,"AV 15 DE NOVEMBRO, 426",,,CENTRO,CRUZEIRO DO SUL,AC,"6833227539, 6833225026, 68999024648","citolabconvenios@outlook.com; examescitolab@hotmail.com, examescitolab@hotmail.com",-7.618754,-72.68687,"AV 15 DE NOVEMBRO, 426, CENTRO, CRUZEIRO DO SUL, AC, Brasil"
13692427000140,OFTALMOACRE MEDICOS LTDA,OFTALMOACRE,AVENIDA ANTÔNIO DA ROCHA VIANA - DE 1600 A 2328 - LADO PAR,,NR 1726 - SALA 03 ANDAR 1,VILAGE WILDE MACIEL,RIO BRANCO,AC,"6832234522, 6821028084",,,,"AVENIDA ANTÔNIO DA ROCHA VIANA - DE 1600 A 2328 - LADO PAR, VILAGE WILDE MACIEL, RIO BRANCO, AC, Brasil"
13713179000176,CLINICA DE REUMATOLOGIA LTDA,CLINICA DE REUMATOLOGIA,RUA ANTUNES DE ALENCAR ,,NR 152 - MEDICINARTE,BOSQUE,RIO BRANCO,AC,"6832233830, 68984171819","infusao.acre@gmail.com, infusao.acre@gmail.com",-9.965602,-67.81733,"RUA ANTUNES DE ALENCAR , BOSQUE, RIO BRANCO, AC, Brasil"
15538176215,MARILENE FALCAO DE FREITAS,MARILENE FALCAO DE FREITAS,RUA SALDANHA ,,NR 207,CONJUNTO UNIVERSITÁRIO,RIO BRANCO,AC,68999722966,"marilene.falcao@hotmail.com, marilene.falcao@hotmail.com",-9.964414,-67.83178,"RUA SALDANHA , CONJUNTO UNIVERSITÁRIO, RIO BRANCO, AC, Brasil"
15539912000103,F. MARTINS CHAVES,VIVENSER INSTITUTO DE TERAPIAS INTEGRADAS,RUA CORONEL JOSÉ GALDINO ,,495,BOSQUE,RIO BRANCO,AC,6899957-3645,"fabychaves81@gmail.com, fabychaves81@gmail.com",-9.961177,-67.812568,"RUA CORONEL JOSÉ GALDINO , BOSQUE, RIO BRANCO, AC, Brasil"
17280180000105,RODRIGO VICK E ERIKA VICK SOCIEDADE SIMPLES,AMAZON SERVICOS MEDICOS,R HUGO CARNEIRO - ATÉ 1199/1200,,NR 689 - ALTOS DO PREDIO DA CEDIAC,BOSQUE,RIO BRANCO,AC,"6832237417, 6832232005",,-9.96314,-67.81583,"R HUGO CARNEIRO - ATÉ 1199/1200, BOSQUE, RIO BRANCO, AC, Brasil"
17513280000134,CLINICA DO CORACAO LTDA,CLINICA DO CORACAO LTDA,RUA,,"15 DE NOVEMBRO, 384 - ANEXO LABSUL",CENTRO,CRUZEIRO DO SUL,AC,68999933487,"admfinanceiroclinicadocoracao@gmail.com, admfinanceiroclinicadocoracao@gmail.com",-7.617059541,-72.68496298,"RUA, CENTRO, CRUZEIRO DO SUL, AC, Brasil"
18826186000106,MAGALHAES E ROCHA SOCIEDADE SIMPLES,MAGALHAES E ROCHA,RUA ANTUNES DE ALENCAR ,,NR 45 - ALTOS DO HOSPITAL DO RIM,BOSQUE,RIO BRANCO,AC,"68999163539, 68999010684","magalhaesrocha15@hotmail.com, magalhaesrocha15@hotmail.com",-9.965602,-67.81733,"RUA ANTUNES DE ALENCAR , BOSQUE, RIO BRANCO, AC, Brasil"
19825518000192,CONSULTORIO RIBEIRO E RIBEIRO SOCIEDADE SIMPLES,CONS. DE OTORRINOLARINGOLOGIA DR FERNANDO E DRA REBECCA,RUA HUGO CARNEIRO - ATÉ 1199/1200,,NR 689 SALA 210 (PRÉDIO CEDIAC),BOSQUE,RIO BRANCO,AC,"6832237862, 68996100800","drfernandoambrosribeiro@gmail.com, drfernandoambrosribeiro@gmail.com",-9.963139,-67.81588,"RUA HUGO CARNEIRO - ATÉ 1199/1200, BOSQUE, RIO BRANCO, AC, Brasil"
20891267000123,ONCOHEALTH - SERVICOS MEDICOS LTDA,ONCOHEALTH - SERVICOS MEDICOS,R ALVORADA - DE 401/402 AO FIM,,NR 550,BOSQUE,RIO BRANCO,AC,"6832234004, 68999517557","relacionamento.rbr@institutoincam.com.br, faturamento.rbr@institutoincam.com.br",-9.957631,-67.81469,"R ALVORADA - DE 401/402 AO FIM, BOSQUE, RIO BRANCO, AC, Brasil"
21110565000282,MEDLAB RIO BRANCO LTDA,MEDLAB,RUA CASTRO ALVES - ATÉ 251/252,,NR 35,BOSQUE,RIO BRANCO,AC,"6899566927, 6832244246","grupomedlabriobranco@gmail.com, grupomedlabriobranco@gmail.com",-9.963139,-67.81588,"RUA CASTRO ALVES - ATÉ 251/252, BOSQUE, RIO BRANCO, AC, Brasil"
21205523000144,CLINICA MEDICA DR ARNALDO BARBOSA LTDA,CLINICA MEDICA DR ARNALDO BARBOSA LTDA,TRAVESSA FRANCISCO CONDE ,,NR 112,BOSQUE,RIO BRANCO,AC,"68992027410, 6830261924",clinicamedica2014@outlook.com,-15.79098179,-47.88842797,"TRAVESSA FRANCISCO CONDE , BOSQUE, RIO BRANCO, AC, Brasil"
21310193000157,CIS - CENTRO INTEGRADO DE SAUDE LTDA,CIS + CENTRO INTEGRADO DE SAUDE,RUA DA ALEGRIA ,,NR 46,BOSQUE,RIO BRANCO,AC,6832232317,"cismaisclinica@gmail.com, cismaisclinica@gmail.com",-9.960769,-67.81627,"RUA DA ALEGRIA , BOSQUE, RIO BRANCO, AC, Brasil"
22172220000135,MEDICINA ESPECIALIZADA DO ACRE SOCIEDADE SIMPLES,MEDICINA ESPECIALIZADA DO ACRE,AVENIDA TUCUNARÉ - ATÉ 467/468,,LOTE 17 - QUADRA 07,PORTAL DA AMAZÔNIA,RIO BRANCO,AC,6832245783,"gilson_doria@hotmail.com, gilson_doria@hotmail.com",-9.974856399,-67.86037881,"AVENIDA TUCUNARÉ - ATÉ 467/468, PORTAL DA AMAZÔNIA, RIO BRANCO, AC, Brasil"
22393791000108,CLINICA VITALLE LTDA - ME,CLINICA VITALLE,"AV 25 AGOSTO, 1002",,,CENTRO,CRUZEIRO DO SUL,AC,6899274131,clinicavitallegestao@gmail.com,-7.618152,-72.673398,"AV 25 AGOSTO, 1002, CENTRO, CRUZEIRO DO SUL, AC, Brasil"
24554330000197,MILLENNIUM REN MEDICALS LTDA,MILLENNIUM REN MEDICALS LTDA,RUA COPACABANA ,,NR 148,VILAGE WILDE MACIEL,RIO BRANCO,AC,68999761738,,-9.959268,-67.82,"RUA COPACABANA , VILAGE WILDE MACIEL, RIO BRANCO, AC, Brasil"
24796941000141,LAGE E DANTAS SOCIEDADE SIMPLES LTDA,LAGE E DANTAS CENTRO MEDICO,RUA ANTUNES DE ALENCAR ,,152 - TÉRREO SALA 02,BOSQUE,RIO BRANCO,AC,6899792631,,-9.966109,-67.817388,"RUA ANTUNES DE ALENCAR , BOSQUE, RIO BRANCO, AC, Brasil"
24868183000120,R. J. C. NETO CLINICA FISIOTERAPIA DR RAIMUNDO CASTRO,CLINICA FISIOTERAPIA DR RAIMUNDO CASTRO,RUA QUINTINO BOCAIUVA - DE 1643/1644 AO FIM,,NR. 1848,BOSQUE,RIO BRANCO,AC,"6821020444, 6832236165","rdojucelinocastro@hotmail.com, rdojucelinocastro@hotmail.com",-9.965775,-67.80964,"RUA QUINTINO BOCAIUVA - DE 1643/1644 AO FIM, BOSQUE, RIO BRANCO, AC, Brasil"
24961912000198,CLINICA ATP - EMAGRECIMENTO E PERFORMANCE FISICA - EIRELI,CLINICA ATP-EMAGRECIMENTO E PERFORMANCE FISICA-EIRELI,RUA DAS OLIVEIRAS ,,QUADRA 07 CASA 06,JARDIM TROPICAL,RIO BRANCO,AC,6892323319,"alencar.paulo@gmail.com, clinica.atp.atp@gmail.com",-9.97858,-67.81184,"RUA DAS OLIVEIRAS , JARDIM TROPICAL, RIO BRANCO, AC, Brasil"
26209408000161,"DR. SAUDE, OFTALMOLOGIA E ESPECIALIDADES LTDA",IMUNO VISION,RUA QUINTINO BOCAIÚVA ,,NR. 385 - SALA 26 E 28,CENTRO,RIO BRANCO,AC,"68981233670, 6821023758, 68996121838","drsaudeacre@gmail.com, drsaudeacre@gmail.com",-9.9669,-67.80914,"RUA QUINTINO BOCAIÚVA , CENTRO, RIO BRANCO, AC, Brasil"
27190476000199,MASTER CLIN SERVICOS MEDICOS EIRELI,MASTER CLIN,RUA ALVORADA - DE 401/402 AO FIM,,NR 526,BOSQUE,RIO BRANCO,AC,68999165005,"masterclinn@gmail.com, masterclinn@gmail.com",,,"RUA ALVORADA - DE 401/402 AO FIM, BOSQUE, RIO BRANCO, AC, Brasil"
27648176220,FRANCISCO EDUARDO SARAIVA DE FARIAS,FRANCISCO EDUARDO SARAIVA DE FARIAS,TRAVESSA 19 DE NOVEMBRO ,,NR. 74 - CLINICA FISIOCLIN,BOSQUE,RIO BRANCO,AC,"68999530554, 6832240566",,-9.961511,-67.80933,"TRAVESSA 19 DE NOVEMBRO , BOSQUE, RIO BRANCO, AC, Brasil"
28342552000105,OBESOCLIN LTDA,OBESOCLIN,RUA HUGO CARNEIRO - ATÉ 1199/1200,,486,BOSQUE,RIO BRANCO,AC,68992295688,,-9.95844,-67.817616,"RUA HUGO CARNEIRO - ATÉ 1199/1200, BOSQUE, RIO BRANCO, AC, Brasil"
28400672000103,J. V. S MACHADO LTDA,ULTRACLÍNÍCA,RUA SILVESTRE COELHO - ATÉ 377/378,,213,IPASE,RIO BRANCO,AC,"682102-2030, 6899220-1206","ultraclinica_us@outlook.com, ultraclinica_us@outlook.com",-9.96801,-67.8113,"RUA SILVESTRE COELHO - ATÉ 377/378, IPASE, RIO BRANCO, AC, Brasil"
30205310710,SERGIO BOUSQUET,SERGIO BUSQUET,TRAVESSA FRANCISCO CONDE ,,NR 112 SALA 201,BOSQUE,RIO BRANCO,AC,"68999863400, 6832241107, 68999863400","sergio.bousquet@gmail.com, sergio.bousquet@gmail.com",-9.961309,-67.80993,"TRAVESSA FRANCISCO CONDE , BOSQUE, RIO BRANCO, AC, Brasil"
30789753200,MARIA DO SOCORRO AVELINO GONCALVES,MARIA DO SOCORRO AVELINO GONCALVES,RUA DOM BOSCO 2 ,,NR 619 (CLINICA CHECKUP),BOSQUE,RIO BRANCO,AC,6899022496,,-9.97858,-67.81184,"RUA DOM BOSCO 2 , BOSQUE, RIO BRANCO, AC, Brasil"
31343535000199,PSICOLOGOS E NUTRICIONISTAS ASSOCIADOS LTDA,CLINICA AFETTO,AVENIDA GETÚLIO VARGAS - DE 3837 AO FIM - LADO ÍMPAR,,NR 4011,RAIMUNDO MELO,RIO BRANCO,AC,68999982532,"adm.clinicasafetto@gmail.com, adm.clinicasafetto@gmail.com",-9.943761,-67.819444,"AVENIDA GETÚLIO VARGAS - DE 3837 AO FIM - LADO ÍMPAR, RAIMUNDO MELO, RIO BRANCO, AC, Brasil"
31557581000190,DNA MEDICINA DIAGNOSTICA LTDA,DNA MEDICINA DIAGNOSTICA,R CASTRO ALVES - ATÉ 251/252,,NR 35,BOSQUE,RIO BRANCO,AC,"683224-9861, 68984060088","dnapatologia@gmail.com, dnapatologia@gmail.com",-9.97858,-67.81184,"R CASTRO ALVES - ATÉ 251/252, BOSQUE, RIO BRANCO, AC, Brasil"
31726310000111,SINDOR SERVICO INTERDISCIPLINAR DE CONTROLE DA DOR LTDA,SINDOR,AVENIDA NAÇÕES UNIDAS - DE 664 A 1144 - LADO PAR,,NR 1080,BOSQUE,RIO BRANCO,AC,"6821025747, 6832246408, 68999758080, 6821020937, 68992033979, 68992033979",clinicasindor@outlook.com,-9.966032,-67.81577,"AVENIDA NAÇÕES UNIDAS - DE 664 A 1144 - LADO PAR, BOSQUE, RIO BRANCO, AC, Brasil"
32308195000128,CLINICA OFTALMOLOGICO SOUZA LIMA EIRELI,CLINICA OFTALMOLOGICO SOUZA LIMA,TV FRANCISCO CONDE ,,NR 112 - SALA 301,BOSQUE,RIO BRANCO,AC,68992479202,,-9.961309,-67.80993,"TV FRANCISCO CONDE , BOSQUE, RIO BRANCO, AC, Brasil"
32621729000252,MORAIS E MORAIS LTDA,CLINICA DR LUIZ GUSTAVO MORAIS,AVENIDA NAÇÕES UNIDAS - DE 664 A 1144 - LADO PAR,,1080 - ANDAR 01 - SALA 03 04 05,BOSQUE,RIO BRANCO,AC,6892192486,"medarqac@hotmail.com, medarqac@hotmail.com",-9.966249111,-67.81604444,"AVENIDA NAÇÕES UNIDAS - DE 664 A 1144 - LADO PAR, BOSQUE, RIO BRANCO, AC, Brasil"
33016571000173,C ARAUJO DA COSTA - EIRELI,ESPACO SINGULAR CENTRO DE REF EM NEURODESENVOLVIMENTO,RUA BENEDITO MAIA ,,NR 246,VILA IVONETE,RIO BRANCO,AC,"68999917971, 6821025268",espacosingular.ac@gmail.com,-9.94702233,-67.82250488,"RUA BENEDITO MAIA , VILA IVONETE, RIO BRANCO, AC, Brasil"
